Response,Emotion,Sentiment
Searching for meaning in his past,neutral,neutral
Freaked out that I might be losing the real stuff,anxious,negative
Panicked theres not enough time to do it all,anxious,negative
Fired up to shake things up now,neutral,neutral
Pushes me to build better moments today,happy,positive
Nervous about how my life stacks up online,anxious,negative
Stressed Im not keeping up with life,anxious,negative
A kick to rethink how I roll,happy,positive
Kinda detached just observing his own memories,detached,neutral
Not sure whats legit anymore,uncertain,neutral
Kinda zoned out like times whatever,detached,neutral
Anxious Im running out of chances,anxious,negative
Too much to process how different life is now,sad,negative
Nervous about how my life stacks up online,anxious,negative
Ready to own my path,happy,positive
Lifes short and kinda unsettling,neutral,neutral
Kinda detached just observing his own memories,detached,neutral
Freaked out that I might be losing the real stuff,anxious,negative
Like times this big meaningless blur,detached,neutral
Feels like a chill acceptance of lifes flow,detached,neutral
Samemy past isnt who I am,neutral,neutral
Creeped out by how fast time slips away,neutral,neutral
Stressed Im not keeping up with life,anxious,negative
Not sure what to focus on anymore,sad,negative
Searching for meaning in his past,neutral,neutral
Worried how my past looks to others,neutral,neutral
Pumped to make every second count,happy,positive
Feels like a chill acceptance of lifes flow,detached,neutral
Samemy past isnt who I am,neutral,neutral
Inspired to live with more purpose,happy,positive
Ready to own my path,happy,positive
A kick to rethink how I roll,happy,positive
Stressed about what hes missed out on in life,sad,negative
Freaked out that I might be losing the real stuff,anxious,negative
Kinda zoned out like times whatever,detached,neutral
Anxious Im running out of chances,anxious,negative
Pushes me to build better moments today,happy,positive
Inspired to live with more purpose,happy,positive
Overloaded by all the expectations,anxious,negative
Not sure what to focus on anymore,sad,negative
Kinda detached just observing his own memories,detached,neutral
Freaked out that I might be losing the real stuff,anxious,negative
Like times this big meaningless blur,detached,neutral
Cant tell if thats freeing or scary,uncertain,neutral
Pushes me to build better moments today,happy,positive
Nervous about how my life stacks up online,anxious,negative
Stressed Im not keeping up with life,anxious,negative
Lifes short and kinda unsettling,neutral,neutral
Kinda detached just observing his own memories,detached,neutral
Freaked out that I might be losing the real stuff,anxious,negative
Panicked theres not enough time to do it all,anxious,negative
Cant tell if thats freeing or scary,uncertain,neutral
Too much to process how different life is now,sad,negative
Nervous about how my life stacks up online,anxious,negative
Overloaded by all the expectations,anxious,negative
Anxious my lifes not Instaworthy,neutral,neutral
Bogged down by the heaviness of it all,sad,negative
Freaked out that I might be losing the real stuff,anxious,negative
Kinda zoned out like times whatever,detached,neutral
Fired up to shake things up now,neutral,neutral
Makes me stress about not treasuring it enough,neutral,neutral
Inspired to live with more purpose,happy,positive
Like a nudge to fix whats broken,neutral,neutral
Lifes short and kinda unsettling,neutral,neutral
Bogged down by the heaviness of it all,sad,negative
Like my past is just a remix I made up,detached,neutral
Pumped to make every second count,happy,positive
Fired up to shake things up now,neutral,neutral
Makes me stress about not treasuring it enough,neutral,neutral
Mixed up about whats worth caring about,uncertain,neutral
Ready to own my path,happy,positive
Lifes short and kinda unsettling,neutral,neutral
Searching for meaning in his past,neutral,neutral
Like my past is just a remix I made up,detached,neutral
Kinda zoned out like times whatever,detached,neutral
Fired up to shake things up now,neutral,neutral
Samemy past isnt who I am,neutral,neutral
Nervous about how my life stacks up online,anxious,negative
Overloaded by all the expectations,anxious,negative
A kick to rethink how I roll,happy,positive
Stressed about what hes missed out on in life,sad,negative
Not sure whats legit anymore,uncertain,neutral
Kinda zoned out like times whatever,detached,neutral
Cant tell if thats freeing or scary,uncertain,neutral
Samemy past isnt who I am,neutral,neutral
Mixed up about whats worth caring about,uncertain,neutral
Overloaded by all the expectations,anxious,negative
Lifes short and kinda unsettling,neutral,neutral
Stressed about what hes missed out on in life,sad,negative
Like my past is just a remix I made up,detached,neutral
Like times this big meaningless blur,detached,neutral
Feels like a chill acceptance of lifes flow,detached,neutral
Too much to process how different life is now,sad,negative
Nervous about how my life stacks up online,anxious,negative
Stressed Im not keeping up with life,anxious,negative
Lifes short and kinda unsettling,neutral,neutral
Kinda detached just observing his own memories,detached,neutral
Freaked out that I might be losing the real stuff,anxious,negative
Pumped to make every second count,happy,positive
Cant tell if thats freeing or scary,uncertain,neutral
Samemy past isnt who I am,neutral,neutral
Inspired to live with more purpose,happy,positive
Ready to own my path,happy,positive
Anxious my lifes not Instaworthy,neutral,neutral
Stressed about what hes missed out on in life,sad,negative
Like my past is just a remix I made up,detached,neutral
Kinda zoned out like times whatever,detached,neutral
Fired up to shake things up now,neutral,neutral
Pushes me to build better moments today,happy,positive
Inspired to live with more purpose,happy,positive
Like a nudge to fix whats broken,neutral,neutral
A kick to rethink how I roll,happy,positive
Searching for meaning in his past,neutral,neutral
Freaked out that I might be losing the real stuff,anxious,negative
Pumped to make every second count,happy,positive
Fired up to shake things up now,neutral,neutral
Too much to process how different life is now,sad,negative
Creeped out by how fast time slips away,neutral,neutral
Overloaded by all the expectations,anxious,negative
A kick to rethink how I roll,happy,positive
Bogged down by the heaviness of it all,sad,negative
Like my past is just a remix I made up,detached,neutral
Pumped to make every second count,happy,positive
Feels like a chill acceptance of lifes flow,detached,neutral
Too much to process how different life is now,sad,negative
Mixed up about whats worth caring about,uncertain,neutral
Overloaded by all the expectations,anxious,negative
A kick to rethink how I roll,happy,positive
Searching for meaning in his past,neutral,neutral
Not sure whats legit anymore,uncertain,neutral
Kinda zoned out like times whatever,detached,neutral
Cant tell if thats freeing or scary,uncertain,neutral
Makes me stress about not treasuring it enough,neutral,neutral
Inspired to live with more purpose,happy,positive
Stressed Im not keeping up with life,anxious,negative
Lifes short and kinda unsettling,neutral,neutral
Searching for meaning in his past,neutral,neutral
Worried how my past looks to others,neutral,neutral
Kinda zoned out like times whatever,detached,neutral
Cant tell if thats freeing or scary,uncertain,neutral
Makes me stress about not treasuring it enough,neutral,neutral
Creeped out by how fast time slips away,neutral,neutral
Stressed Im not keeping up with life,anxious,negative
A kick to rethink how I roll,happy,positive
Bogged down by the heaviness of it all,sad,negative
Worried how my past looks to others,neutral,neutral
Kinda zoned out like times whatever,detached,neutral
Fired up to shake things up now,neutral,neutral
Too much to process how different life is now,sad,negative
Creeped out by how fast time slips away,neutral,neutral
Like a nudge to fix whats broken,neutral,neutral
Lifes short and kinda unsettling,neutral,neutral
Kinda detached just observing his own memories,detached,neutral
Worried how my past looks to others,neutral,neutral
Like times this big meaningless blur,detached,neutral
Cant tell if thats freeing or scary,uncertain,neutral
Too much to process how different life is now,sad,negative
Creeped out by how fast time slips away,neutral,neutral
Stressed Im not keeping up with life,anxious,negative
Not sure what to focus on anymore,sad,negative
Bogged down by the heaviness of it all,sad,negative
Not sure whats legit anymore,uncertain,neutral
Pumped to make every second count,happy,positive
Cant tell if thats freeing or scary,uncertain,neutral
Makes me stress about not treasuring it enough,neutral,neutral
Inspired to live with more purpose,happy,positive
Stressed Im not keeping up with life,anxious,negative
Anxious my lifes not Instaworthy,neutral,neutral
Searching for meaning in his past,neutral,neutral
Freaked out that I might be losing the real stuff,anxious,negative
Kinda zoned out like times whatever,detached,neutral
Feels like a chill acceptance of lifes flow,detached,neutral
Makes me stress about not treasuring it enough,neutral,neutral
Inspired to live with more purpose,happy,positive
Like a nudge to fix whats broken,neutral,neutral
A kick to rethink how I roll,happy,positive
Bogged down by the heaviness of it all,sad,negative
Freaked out that I might be losing the real stuff,anxious,negative
Pumped to make every second count,happy,positive
Feels like a chill acceptance of lifes flow,detached,neutral
Samemy past isnt who I am,neutral,neutral
Inspired to live with more purpose,happy,positive
Stressed Im not keeping up with life,anxious,negative
A kick to rethink how I roll,happy,positive
Searching for meaning in his past,neutral,neutral
Worried how my past looks to others,neutral,neutral
Like times this big meaningless blur,detached,neutral
Feels like a chill acceptance of lifes flow,detached,neutral
Makes me stress about not treasuring it enough,neutral,neutral
Creeped out by how fast time slips away,neutral,neutral
Stressed Im not keeping up with life,anxious,negative
Not sure what to focus on anymore,sad,negative
Searching for meaning in his past,neutral,neutral
Freaked out that I might be losing the real stuff,anxious,negative
Like times this big meaningless blur,detached,neutral
Fired up to shake things up now,neutral,neutral
Samemy past isnt who I am,neutral,neutral
Creeped out by how fast time slips away,neutral,neutral
Like a nudge to fix whats broken,neutral,neutral
A kick to rethink how I roll,happy,positive
Stressed about what hes missed out on in life,sad,negative
Like my past is just a remix I made up,detached,neutral
Pumped to make every second count,happy,positive
Feels like a chill acceptance of lifes flow,detached,neutral
Too much to process how different life is now,sad,negative
Nervous about how my life stacks up online,anxious,negative
Stressed Im not keeping up with life,anxious,negative
A kick to rethink how I roll,happy,positive
Kinda detached just observing his own memories,detached,neutral
Worried how my past looks to others,neutral,neutral
Kinda zoned out like times whatever,detached,neutral
Anxious Im running out of chances,anxious,negative
Pushes me to build better moments today,happy,positive
Nervous about how my life stacks up online,anxious,negative
Overloaded by all the expectations,anxious,negative
Anxious my lifes not Instaworthy,neutral,neutral
Searching for meaning in his past,neutral,neutral
Not sure whats legit anymore,uncertain,neutral
Pumped to make every second count,happy,positive
Fired up to shake things up now,neutral,neutral
Too much to process how different life is now,sad,negative
Creeped out by how fast time slips away,neutral,neutral
Ready to own my path,happy,positive
Lifes short and kinda unsettling,neutral,neutral
Kinda detached just observing his own memories,detached,neutral
Not sure whats legit anymore,uncertain,neutral
Kinda zoned out like times whatever,detached,neutral
Feels like a chill acceptance of lifes flow,detached,neutral
Pushes me to build better moments today,happy,positive
Nervous about how my life stacks up online,anxious,negative
Ready to own my path,happy,positive
Not sure what to focus on anymore,sad,negative
Kinda detached just observing his own memories,detached,neutral
Not sure whats legit anymore,uncertain,neutral
Panicked theres not enough time to do it all,anxious,negative
Anxious Im running out of chances,anxious,negative
Pushes me to build better moments today,happy,positive
Mixed up about whats worth caring about,uncertain,neutral
Ready to own my path,happy,positive
A kick to rethink how I roll,happy,positive
Stressed about what hes missed out on in life,sad,negative
Not sure whats legit anymore,uncertain,neutral
Kinda zoned out like times whatever,detached,neutral
Anxious Im running out of chances,anxious,negative
Pushes me to build better moments today,happy,positive
Inspired to live with more purpose,happy,positive
Stressed Im not keeping up with life,anxious,negative
A kick to rethink how I roll,happy,positive
Kinda detached just observing his own memories,detached,neutral
Worried how my past looks to others,neutral,neutral
Kinda zoned out like times whatever,detached,neutral
Cant tell if thats freeing or scary,uncertain,neutral
Pushes me to build better moments today,happy,positive
Mixed up about whats worth caring about,uncertain,neutral
Stressed Im not keeping up with life,anxious,negative
A kick to rethink how I roll,happy,positive
Kinda detached just observing his own memories,detached,neutral
Freaked out that I might be losing the real stuff,anxious,negative
Like times this big meaningless blur,detached,neutral
Cant tell if thats freeing or scary,uncertain,neutral
Too much to process how different life is now,sad,negative
Nervous about how my life stacks up online,anxious,negative
Ready to own my path,happy,positive
Lifes short and kinda unsettling,neutral,neutral
Stressed about what hes missed out on in life,sad,negative
Like my past is just a remix I made up,detached,neutral
Pumped to make every second count,happy,positive
Anxious Im running out of chances,anxious,negative
Samemy past isnt who I am,neutral,neutral
Nervous about how my life stacks up online,anxious,negative
Ready to own my path,happy,positive
Anxious my lifes not Instaworthy,neutral,neutral
Bogged down by the heaviness of it all,sad,negative
Freaked out that I might be losing the real stuff,anxious,negative
Kinda zoned out like times whatever,detached,neutral
Anxious Im running out of chances,anxious,negative
Pushes me to build better moments today,happy,positive
Mixed up about whats worth caring about,uncertain,neutral
Overloaded by all the expectations,anxious,negative
A kick to rethink how I roll,happy,positive
Stressed about what hes missed out on in life,sad,negative
Freaked out that I might be losing the real stuff,anxious,negative
Panicked theres not enough time to do it all,anxious,negative
Feels like a chill acceptance of lifes flow,detached,neutral
Too much to process how different life is now,sad,negative
Mixed up about whats worth caring about,uncertain,neutral
Ready to own my path,happy,positive
Lifes short and kinda unsettling,neutral,neutral
Searching for meaning in his past,neutral,neutral
Like my past is just a remix I made up,detached,neutral
Pumped to make every second count,happy,positive
Feels like a chill acceptance of lifes flow,detached,neutral
Makes me stress about not treasuring it enough,neutral,neutral
Nervous about how my life stacks up online,anxious,negative
Ready to own my path,happy,positive
Anxious my lifes not Instaworthy,neutral,neutral
Searching for meaning in his past,neutral,neutral
Freaked out that I might be losing the real stuff,anxious,negative
Kinda zoned out like times whatever,detached,neutral
Anxious Im running out of chances,anxious,negative
Too much to process how different life is now,sad,negative
Creeped out by how fast time slips away,neutral,neutral
Overloaded by all the expectations,anxious,negative
Not sure what to focus on anymore,sad,negative
Bogged down by the heaviness of it all,sad,negative
Freaked out that I might be losing the real stuff,anxious,negative
Kinda zoned out like times whatever,detached,neutral
Cant tell if thats freeing or scary,uncertain,neutral
Samemy past isnt who I am,neutral,neutral
Mixed up about whats worth caring about,uncertain,neutral
Like a nudge to fix whats broken,neutral,neutral
Anxious my lifes not Instaworthy,neutral,neutral
Bogged down by the heaviness of it all,sad,negative
Worried how my past looks to others,neutral,neutral
Panicked theres not enough time to do it all,anxious,negative
Feels like a chill acceptance of lifes flow,detached,neutral
Pushes me to build better moments today,happy,positive
Nervous about how my life stacks up online,anxious,negative
Overloaded by all the expectations,anxious,negative
Anxious my lifes not Instaworthy,neutral,neutral
Stressed about what hes missed out on in life,sad,negative
Freaked out that I might be losing the real stuff,anxious,negative
Pumped to make every second count,happy,positive
Fired up to shake things up now,neutral,neutral
Samemy past isnt who I am,neutral,neutral
Nervous about how my life stacks up online,anxious,negative
Like a nudge to fix whats broken,neutral,neutral
Anxious my lifes not Instaworthy,neutral,neutral
Kinda detached just observing his own memories,detached,neutral
Freaked out that I might be losing the real stuff,anxious,negative
Panicked theres not enough time to do it all,anxious,negative
Fired up to shake things up now,neutral,neutral
Samemy past isnt who I am,neutral,neutral
Creeped out by how fast time slips away,neutral,neutral
Stressed Im not keeping up with life,anxious,negative
Not sure what to focus on anymore,sad,negative
Bogged down by the heaviness of it all,sad,negative
Like my past is just a remix I made up,detached,neutral
Kinda zoned out like times whatever,detached,neutral
Fired up to shake things up now,neutral,neutral
Pushes me to build better moments today,happy,positive
Inspired to live with more purpose,happy,positive
Overloaded by all the expectations,anxious,negative
Not sure what to focus on anymore,sad,negative
Searching for meaning in his past,neutral,neutral
Freaked out that I might be losing the real stuff,anxious,negative
Panicked theres not enough time to do it all,anxious,negative
Anxious Im running out of chances,anxious,negative
Pushes me to build better moments today,happy,positive
Creeped out by how fast time slips away,neutral,neutral
Overloaded by all the expectations,anxious,negative
Lifes short and kinda unsettling,neutral,neutral
Stressed about what hes missed out on in life,sad,negative
Worried how my past looks to others,neutral,neutral
Pumped to make every second count,happy,positive
Fired up to shake things up now,neutral,neutral
Too much to process how different life is now,sad,negative
Nervous about how my life stacks up online,anxious,negative
Ready to own my path,happy,positive
Lifes short and kinda unsettling,neutral,neutral
Stressed about what hes missed out on in life,sad,negative
Worried how my past looks to others,neutral,neutral
Pumped to make every second count,happy,positive
Fired up to shake things up now,neutral,neutral
Makes me stress about not treasuring it enough,neutral,neutral
Nervous about how my life stacks up online,anxious,negative
Like a nudge to fix whats broken,neutral,neutral
Lifes short and kinda unsettling,neutral,neutral
Kinda detached just observing his own memories,detached,neutral
Worried how my past looks to others,neutral,neutral
Panicked theres not enough time to do it all,anxious,negative
Cant tell if thats freeing or scary,uncertain,neutral
Makes me stress about not treasuring it enough,neutral,neutral
Mixed up about whats worth caring about,uncertain,neutral
Ready to own my path,happy,positive
A kick to rethink how I roll,happy,positive
Kinda detached just observing his own memories,detached,neutral
Worried how my past looks to others,neutral,neutral
Panicked theres not enough time to do it all,anxious,negative
Anxious Im running out of chances,anxious,negative
Pushes me to build better moments today,happy,positive
Inspired to live with more purpose,happy,positive
Overloaded by all the expectations,anxious,negative
Lifes short and kinda unsettling,neutral,neutral
Stressed about what hes missed out on in life,sad,negative
Not sure whats legit anymore,uncertain,neutral
Panicked theres not enough time to do it all,anxious,negative
Feels like a chill acceptance of lifes flow,detached,neutral
Too much to process how different life is now,sad,negative
Creeped out by how fast time slips away,neutral,neutral
Stressed Im not keeping up with life,anxious,negative
Lifes short and kinda unsettling,neutral,neutral
Kinda detached just observing his own memories,detached,neutral
Worried how my past looks to others,neutral,neutral
Like times this big meaningless blur,detached,neutral
Feels like a chill acceptance of lifes flow,detached,neutral
Too much to process how different life is now,sad,negative
Nervous about how my life stacks up online,anxious,negative
Like a nudge to fix whats broken,neutral,neutral
Anxious my lifes not Instaworthy,neutral,neutral
Searching for meaning in his past,neutral,neutral
Like my past is just a remix I made up,detached,neutral
Pumped to make every second count,happy,positive
Anxious Im running out of chances,anxious,negative
Pushes me to build better moments today,happy,positive
Nervous about how my life stacks up online,anxious,negative
Stressed Im not keeping up with life,anxious,negative
Lifes short and kinda unsettling,neutral,neutral
Stressed about what hes missed out on in life,sad,negative
Not sure whats legit anymore,uncertain,neutral
Pumped to make every second count,happy,positive
Anxious Im running out of chances,anxious,negative
Pushes me to build better moments today,happy,positive
Creeped out by how fast time slips away,neutral,neutral
Overloaded by all the expectations,anxious,negative
Lifes short and kinda unsettling,neutral,neutral
Stressed about what hes missed out on in life,sad,negative
Not sure whats legit anymore,uncertain,neutral
Panicked theres not enough time to do it all,anxious,negative
Cant tell if thats freeing or scary,uncertain,neutral
Samemy past isnt who I am,neutral,neutral
Creeped out by how fast time slips away,neutral,neutral
Like a nudge to fix whats broken,neutral,neutral
A kick to rethink how I roll,happy,positive
Stressed about what hes missed out on in life,sad,negative
Worried how my past looks to others,neutral,neutral
Pumped to make every second count,happy,positive
Fired up to shake things up now,neutral,neutral
Samemy past isnt who I am,neutral,neutral
Nervous about how my life stacks up online,anxious,negative
Ready to own my path,happy,positive
Not sure what to focus on anymore,sad,negative
Bogged down by the heaviness of it all,sad,negative
Like my past is just a remix I made up,detached,neutral
Panicked theres not enough time to do it all,anxious,negative
Anxious Im running out of chances,anxious,negative
Makes me stress about not treasuring it enough,neutral,neutral
Creeped out by how fast time slips away,neutral,neutral
Like a nudge to fix whats broken,neutral,neutral
Lifes short and kinda unsettling,neutral,neutral
Searching for meaning in his past,neutral,neutral
Not sure whats legit anymore,uncertain,neutral
Pumped to make every second count,happy,positive
Feels like a chill acceptance of lifes flow,detached,neutral
Pushes me to build better moments today,happy,positive
Mixed up about whats worth caring about,uncertain,neutral
Stressed Im not keeping up with life,anxious,negative
Anxious my lifes not Instaworthy,neutral,neutral
Searching for meaning in his past,neutral,neutral
Freaked out that I might be losing the real stuff,anxious,negative
Panicked theres not enough time to do it all,anxious,negative
Feels like a chill acceptance of lifes flow,detached,neutral
Too much to process how different life is now,sad,negative
Mixed up about whats worth caring about,uncertain,neutral
Like a nudge to fix whats broken,neutral,neutral
Anxious my lifes not Instaworthy,neutral,neutral
Stressed about what hes missed out on in life,sad,negative
Worried how my past looks to others,neutral,neutral
Like times this big meaningless blur,detached,neutral
Fired up to shake things up now,neutral,neutral
Too much to process how different life is now,sad,negative
Mixed up about whats worth caring about,uncertain,neutral
Stressed Im not keeping up with life,anxious,negative
Lifes short and kinda unsettling,neutral,neutral
Searching for meaning in his past,neutral,neutral
Like my past is just a remix I made up,detached,neutral
Like times this big meaningless blur,detached,neutral
Feels like a chill acceptance of lifes flow,detached,neutral
Too much to process how different life is now,sad,negative
Nervous about how my life stacks up online,anxious,negative
Overloaded by all the expectations,anxious,negative
Not sure what to focus on anymore,sad,negative
Kinda detached just observing his own memories,detached,neutral
Not sure whats legit anymore,uncertain,neutral
Kinda zoned out like times whatever,detached,neutral
Cant tell if thats freeing or scary,uncertain,neutral
Samemy past isnt who I am,neutral,neutral
Inspired to live with more purpose,happy,positive
Like a nudge to fix whats broken,neutral,neutral
Anxious my lifes not Instaworthy,neutral,neutral
Searching for meaning in his past,neutral,neutral
Worried how my past looks to others,neutral,neutral
Kinda zoned out like times whatever,detached,neutral
Anxious Im running out of chances,anxious,negative
Pushes me to build better moments today,happy,positive
Creeped out by how fast time slips away,neutral,neutral
Like a nudge to fix whats broken,neutral,neutral
A kick to rethink how I roll,happy,positive
Stressed about what hes missed out on in life,sad,negative
Like my past is just a remix I made up,detached,neutral
Like times this big meaningless blur,detached,neutral
Cant tell if thats freeing or scary,uncertain,neutral
Samemy past isnt who I am,neutral,neutral
Nervous about how my life stacks up online,anxious,negative
Ready to own my path,happy,positive
A kick to rethink how I roll,happy,positive
Stressed about what hes missed out on in life,sad,negative
Like my past is just a remix I made up,detached,neutral
Panicked theres not enough time to do it all,anxious,negative
Cant tell if thats freeing or scary,uncertain,neutral
Too much to process how different life is now,sad,negative
Nervous about how my life stacks up online,anxious,negative
Ready to own my path,happy,positive
Anxious my lifes not Instaworthy,neutral,neutral
Stressed about what hes missed out on in life,sad,negative
Freaked out that I might be losing the real stuff,anxious,negative
Panicked theres not enough time to do it all,anxious,negative
Fired up to shake things up now,neutral,neutral
Too much to process how different life is now,sad,negative
Nervous about how my life stacks up online,anxious,negative
Overloaded by all the expectations,anxious,negative
Anxious my lifes not Instaworthy,neutral,neutral
